device,time,dne,srl,srrn,eda
NC04014,2024-10-28T10:51:31.347Z,,,,138046
NC04014,2024-10-28T10:51:31.680Z,,,,135825
NC04014,2024-10-28T10:51:32.013Z,,,,136379
NC04014,2024-10-28T10:51:32.346Z,,,,139080
NC04014,2024-10-28T10:51:32.679Z,,,,136062
NC04014,2024-10-28T10:51:33.012Z,,,,131880
NC04014,2024-10-28T10:51:33.345Z,,,,129683
NC04014,2024-10-28T10:51:33.678Z,,,,126793
NC04014,2024-10-28T10:51:34.011Z,,,,126247
NC04014,2024-10-28T10:51:34.344Z,,,,126871
NC04014,2024-10-28T10:51:34.677Z,,,,127884
NC04014,2024-10-28T10:51:35.010Z,,,,129761
NC04014,2024-10-28T10:51:35.343Z,,,,129135
NC04014,2024-10-28T10:51:35.676Z,,,,127104
NC04014,2024-10-28T10:51:36.009Z,,,,128275
NC04014,2024-10-28T10:51:36.342Z,,,,128900
NC04014,2024-10-28T10:51:36.675Z,,,,127338
NC04014,2024-10-28T10:51:37.008Z,,,,126092
NC04014,2024-10-28T10:51:37.341Z,,,,124460
NC04014,2024-10-28T10:51:37.674Z,,,,125625
NC04014,2024-10-28T10:51:38.007Z,,,,129213
NC04014,2024-10-28T10:51:38.340Z,,,,130545
NC04014,2024-10-28T10:51:38.673Z,,,,129918
NC04014,2024-10-28T10:51:39.006Z,,,,129057
NC04014,2024-10-28T10:51:39.339Z,,,,128275
NC04014,2024-10-28T10:51:39.672Z,,,,127728
NC04014,2024-10-28T10:51:40.005Z,,,,127104
NC04014,2024-10-28T10:51:40.338Z,,,,126014
NC04014,2024-10-28T10:51:40.671Z,,,,126014
NC04014,2024-10-28T10:51:41.004Z,,,,126092
NC04014,2024-10-28T10:51:41.337Z,,,,126014
NC04014,2024-10-28T10:51:41.670Z,,,,126403
